http://news.iciba.com/dailysentence/detail-1939.html," We must hang together, or we'll be hanged separately.", 我们必须团结在一起，否则我们将被一个个绞死。 
http://news.iciba.com/dailysentence/detail-1941.html,"But all sunshine without shade, all pleasure without pain, is not life at all. ", 但只有阳光没有阴影，只有快乐没有痛苦，根本不是真正的生活。 
http://news.iciba.com/dailysentence/detail-1945.html,Baby you've done enough that cut your breath.Don't beat yourself up don't need to turn so fast.Sometimes we come last but we did our best., 你已经受够了白费力气，请不要自暴自弃，也不必太快抽离，有时我们终能实现梦想只要我们竭尽全力。
http://news.iciba.com/dailysentence/detail-1943.html,The cloud stood humbly in a corner of the sky. The morning crowned it with splendor., 白云谦卑地站在天边，晨光给它披上壮丽的光彩。--泰戈尔
http://news.iciba.com/dailysentence/detail-1882.html, Never trouble trouble till trouble troubles you., 麻烦没来找你，就别去自找麻烦。
http://news.iciba.com/dailysentence/detail-1931.html,"All my life, I've only been pretending. Without me, his world will go on turning. A world that's full of happiness that I have never known.", 这一生不过是自欺欺人罢了。没有我他的世界依然如故，那里满是我从未体会过的幸福。
http://news.iciba.com/dailysentence/detail-1870.html,"You don't become what you want, you become what you believe. ", 不是成为你想要的，而是成为你所相信的。
http://news.iciba.com/dailysentence/detail-1914.html,"Is life always this hard,or is it just when you are a kid?Always like this. ", 人生总是那么艰难吗？还是只有孩童时这样？  总是如此。
http://news.iciba.com/dailysentence/detail-1869.html,"“You know, I'm really glad you decided to learn Mandarin.” “Why?”   “Once you're fluent, you'll have a billion more people to annoy instead of me.”", “话说，你终于要学普通话了我还真高兴。”  “为嘛？” “等你说顺溜了，有十多亿中国人民等着你去烦，你就不用来烦我了。”  
http://news.iciba.com/dailysentence/detail-1872.html,I figure life is a gift and I don't intend on wasting it. You never know what hand you're going to get dealt next. You learn to take life as it comes at you.," 我觉得生命是一份礼物,我不想浪费它,你不会知道下一手牌会是什么,要学会接受生活。"
http://news.iciba.com/dailysentence/detail-1875.html,"We all have moments of desperation. But if we can face them head on, that's when we find out just how strong we really are.", 我们都有绝望的时候，只有在勇敢面对时，我们才知道我们有多坚强。
http://news.iciba.com/dailysentence/detail-1874.html,Progress is the activity of today and the assurance of tomorrow ., 进步是今天的活动、明天的保证。
http://news.iciba.com/dailysentence/detail-1876.html,"If they throw stones at you, don't throw back, use them to build your own foundation instead.", 如果别人朝你扔石头，就不要扔回去了，留着作你建高楼的基石。
http://news.iciba.com/dailysentence/detail-1881.html,It’s better to be alone than to be with someone you’re not happy to be with., 宁愿一个人呆着，也不要跟不合拍的人呆一块。
http://news.iciba.com/dailysentence/detail-1917.html,"Yesterday is history, tomorrow is a mystery, but today is a gift, that is why it’s called present！", 昨天已成为历史，明天是未知的，而今天是上天赐予我们的礼物，这就是为什么我们把它叫做现在！
http://news.iciba.com/dailysentence/detail-1919.html,Persistence is the common trait of anyone who has had a significant impact on the world., 坚持是世界上每个有建树的人共有的品质。
http://news.iciba.com/dailysentence/detail-1918.html,A single hand that wipes tears during failures is much better than countless hands that come together to clap on success.  , 失败时有人伸出一只手来为你擦泪，会好过成功时无数人伸手为你鼓掌。
http://news.iciba.com/dailysentence/detail-1883.html,You can learn great things from your mistakes when you aren't busy denying them., 当你不再急于否认错误时，你就学到了重要的一课。
http://news.iciba.com/dailysentence/detail-1887.html,There are more things between heaven and earth than are dreamt of in your philosophy. 　, 在这天地间有许多事情是人类哲学所不能解释的。
http://news.iciba.com/dailysentence/detail-1884.html,"Land? Land is a ship too big for me. It’s a woman too beautiful, it’s a voyage too long, a perfume too strong, it’s music I don’t know how to make.", 陆地？对我来说，陆地是艘太大的船，是位太美的美女。是条太长的航程，是瓶太香的香水，是篇无从弹奏的乐章。
http://news.iciba.com/dailysentence/detail-1888.html," The only way to keep your health is to eat what you don't want, drink what you don't like, and do what you'd rather not.-- Mark Twain", 保持身体健康的唯一办法，就是吃点你不想吃的，喝点你不想喝的，以及做点你不愿做的事情。——马克·吐温
http://news.iciba.com/dailysentence/detail-1894.html,I can accept defeat but could not accept to give up ., 我可以接受失败，但不能接受放弃.（迈克尔·乔丹座右铭）
http://news.iciba.com/dailysentence/detail-1889.html,"Behind the fear of an ideal you, you create the fear, you can beat him.",  恐惧的背后有一个理想的你，恐惧是你自己创造，你也可以打败他。
http://news.iciba.com/dailysentence/detail-1896.html,We learn to let go of things and people that hurt us in the past and just move on. For life is all about moving on., 我们学着放开过去伤害我们的人和事，学着只向前看。因为生活本来就是一往直前的。
http://news.iciba.com/dailysentence/detail-1898.html,Never regret anything because at one time it was exactly what you wanted. , 不要后悔做任何事情，因为曾经有个时候，那正是你想要的。
http://news.iciba.com/dailysentence/detail-1923.html,A soldier would rather face a firing squad a thousand times over than just once have to look his own colleagues in the eye knowing he had failed them., 一名军人宁愿被行刑队枪毙一千次，也不愿让战友看见自己逃命的背影。
http://news.iciba.com/dailysentence/detail-1904.html,Be confident with yourself and stop worrying what other people think. Do what's best for your future happiness., 对自己要自信，别再管其它人怎么想了，为了未来幸福全力以赴吧！ 
http://news.iciba.com/dailysentence/detail-1925.html,"The greatest contest is always with the enemy within,and that battleground can be the loneliest place on earth.", 同自己内心的敌人斗争永远是最艰苦的，那片战场也是地球上最孤独的地方。
http://news.iciba.com/dailysentence/detail-1902.html,"Whenever you feel like criticizing any one, just remember that all the people in this world haven’t had the advantages that you’ve had. ", 每当你觉得想要批评什么人的时候，你切要记着，这个世界上的人并非都具备你禀有的条件。
http://news.iciba.com/dailysentence/detail-1927.html,Real dream is the other shore of reality., 真正的梦就是现实的彼岸。
http://news.iciba.com/dailysentence/detail-1929.html,"Every man dies, not every man really lives.", 任何人都将会死去，然而并不是每个人都真真正正的活过。
http://news.iciba.com/dailysentence/detail-1900.html,"Life's a little bit messy. We all make mistakes. No matter what type of animal you are, change starts with you.", 生活总会有点不顺意，我们都会犯错。天性如何并不重要，重要的是你开始改变。
http://news.iciba.com/dailysentence/detail-1903.html,To be a person who knows how to be silent and always keep aspiring., 做一个适时懂得缄默而始终持有骨架的人。
http://news.iciba.com/dailysentence/detail-1908.html,"I am a slow walker,but I never walk backwards. ", 我走得很慢，但是我从来不会后退。
http://news.iciba.com/dailysentence/detail-1910.html,"I don't want to be the next Michael Jordan, I only want to be Kobe Bryant.", 我不想和别人一样，即便这个别人是乔丹。
http://news.iciba.com/dailysentence/detail-1913.html,I believe I am.Born as the bright summer flowers.Do not withered undefeated fiery demon rule. , 我相信自己，生来如同璀璨的夏日之花。不凋不败，妖冶如火。
http://news.iciba.com/dailysentence/detail-1845.html,"For I know that my Redeemer lives, and that at the last he will stand up on the earth; and after my skin has been thus destroyed, then in my flesh I shall see God. ",  我知道我的救赎主活着，末了必站在地上。我这皮肉灭绝之后，我必在肉体之外得见上帝。--（《旧约·约伯记》第19章） 
http://news.iciba.com/dailysentence/detail-1868.html,"This moment nap, you will have a dream. But this moment study, you will interpret a dream.", 此刻打盹，你将做梦；而此刻学习，你将圆梦。
http://news.iciba.com/dailysentence/detail-1812.html,"The most important thing in any relationship is not what you get but what you give. In any case, the giving of love is an education in itself.", 最重要的不是你得到什么而是给了什么。任何情况下，爱的付出本身就是一门学问。（Eleanor Roosevelt）
http://news.iciba.com/dailysentence/detail-1851.html,Hard work never killed anybody. But why take the risk., 努力工作不会导致死亡，不过我不会用自己去证明。
http://news.iciba.com/dailysentence/detail-1850.html,The power of the wind is at your command.The balance of power must be preserved., 风之化身听候您的差遣！力量的均衡必须维持！
http://news.iciba.com/dailysentence/detail-1853.html,"I'm just a little bit caught in the middle. Life is a maze and love is a riddle, I don't know where to go, can't do it alone.", 我有点儿左右两难，生活是座迷宫，爱是个谜，我不知道该去哪儿，我一个人做不到。
http://news.iciba.com/dailysentence/detail-1854.html,"My flower is ephemeral, and she has only four thorns to defend herself against the world． And I have left on my planet, all alone！", 我的花生命是短暂的，她只有四根刺可以保护自己，抵御世界，我却将她独自留在我的星球上了！
http://news.iciba.com/dailysentence/detail-1855.html,"People die, but books never die. No man and no force can abolish memory.", 人会死亡，书却无朽。没有任何人可以丢弃记忆。--富兰克林·罗斯福
http://news.iciba.com/dailysentence/detail-1813.html,Never let fear or shame keep you from celebrating the unique people that you are., 绝不要让害怕或羞怯，阻止你欣赏自己的独一无二。（Kristen Anderson-Lopez）
http://news.iciba.com/dailysentence/detail-1856.html,Only those who attempt the absurd can achieve the impossible.––Albert Einstein, 只有那些努力完成荒谬的事才有可能实现不可能。--爱因斯坦
http://news.iciba.com/dailysentence/detail-1857.html,Make up your mind to act decidedly and take the consequences. No good is ever done in this world by hesitation., 下定决心，果断行动，并承担后果。在这世界上犹豫不决成就不了任何事。
http://news.iciba.com/dailysentence/detail-1833.html,Mama always said life was like a box of chocolates. You never know what you're gonna get., 妈妈说生活就像一盒巧克力，你永远都不知道你会得到什么。（《阿甘正传》
http://news.iciba.com/dailysentence/detail-1835.html,Money is not everything. There's MasterCard.," 钞票不是万能的, 有时还需要信用卡。"
http://news.iciba.com/dailysentence/detail-1838.html,"He cheated death. No, he made a promise to death that he didn't keep.", 他欺骗了死神。不，应该说是他向死神做出了承诺，却没有遵守诺言。--电影《恐怖游轮》
http://news.iciba.com/dailysentence/detail-1839.html,Fear of death is worse than death itself., 畏惧死亡比死亡本身更糟糕。--《红与黑》
http://news.iciba.com/dailysentence/detail-1840.html,"And when we come together, combine the light that shines within. There is nothing we can't do, there is no battle we can't win.", 当我们在一起时，光会更亮。没有什么是我们做不了的，没有我们赢不了的比赛。
http://news.iciba.com/dailysentence/detail-1803.html,"The most important quality for an investor is temperament, not intellect.", 投资人最重要的品质不是智慧，而是性情。--巴菲特
http://news.iciba.com/dailysentence/detail-1797.html,A great many people think they are thinking when they are merely rearranging their prejudices., 很多人觉得他们在思考，但实际上只是重新安排自己的偏见。（William James）
http://news.iciba.com/dailysentence/detail-1800.html,"It is not in the still calm of life, or in the repose of a pacific station, that great characters are formed.", 伟大的人格，不会形成于平静的生活，或无风的太平洋港。（Abigail Adams）
http://news.iciba.com/dailysentence/detail-1799.html,Mental attitude plays a far more important role in a person's success or failure than mental capacity., 对于一个人的成功与失败，态度所扮演的角色比能力更重要许多。
http://news.iciba.com/dailysentence/detail-1796.html,Happiness belongs to  those who dream dreams and are ready to pay the price to make them come true., 快乐属于那些敢于梦想，并且时刻准备去实现梦想的人。（Leon Suenens）
http://news.iciba.com/dailysentence/detail-1798.html,"In a world that's changing really quickly, the only strategy that is guaranteed to fail is not taking risks.", 在一个瞬息万变的世界里，不冒任何险是唯一保证会失败的策略。（Mark Zuckerberg）
http://news.iciba.com/dailysentence/detail-1801.html,A friend is someone who knows all about you and still loves you., 朋友是了解你的全部且仍然爱你的人。（Elbert Hubbard）
http://news.iciba.com/dailysentence/detail-1802.html,"If I have seen further than others, it is by standing upon the shoulders of giants.", 如果我看得比其他人远，那是因为我站在巨人的肩膀上。（Isaac Newton）
http://news.iciba.com/dailysentence/detail-1804.html,Readers are plentiful. Thinkers are rare., 阅读的人很多，但思考的人很少。（Harriet Martineau）
http://news.iciba.com/dailysentence/detail-1811.html,"Our greatest enemies, the ones we must fight most often, are within.", 我们最大的敌人和最常遇到的敌人，就在我们的心里。（Thomas Paine）
http://news.iciba.com/dailysentence/detail-1805.html,"Live out of your imagination, not your history.", 以你的想像，不是你的过去来生活。（Stephen Covey）
http://news.iciba.com/dailysentence/detail-1806.html,Don't let yesterday take up too much of today., 别让过去之事占据今天太多时间。（Will Rogers）
http://news.iciba.com/dailysentence/detail-1807.html,Find something you're passionate about and keep tremendously interested in it., 善于发现自己的喜好，并对它保持极大兴趣。（Julia Child）
http://news.iciba.com/dailysentence/detail-1808.html,The very best thing you can do for the whole world is to make the most of yourself., 你能为世界做最好的事，就是完全发挥自己的才能。（ Wallace Wattles）
http://news.iciba.com/dailysentence/detail-1809.html,The important thing is not to stop questioning. Curiosity has its own reason for existing., 重要的是不要停止疑问，好奇心有其存在的理由。（Albert Einstein）
http://news.iciba.com/dailysentence/detail-1828.html,You're not obligated to win. You're obligated to keep trying. To the best you can do everyday., 你不一定要获胜，但你必须不断尝试，每天表现你最好的一面。（Jason Mraz）
http://news.iciba.com/dailysentence/detail-1794.html,The best and most beautiful things in the world cannot be seen or even touched. They must be felt with the heart., 世上最美好的事物看不着也摸不到，它们只能用心感觉。（Helen Keller）
http://news.iciba.com/dailysentence/detail-1776.html,"Truly, would you not for less than that make the tour around the world? ", 讲真，难道人们真的不可能用更短的时间来环游地球一周吗？--《环游地球80天》
http://news.iciba.com/dailysentence/detail-1780.html,It is better to live your own destiny imperfectly than to live an imitation of somebody else’s life with perfection., 不完美地走自己的命运比完美地模仿别人的生活还要好。（The Bhagavad Gita）
http://news.iciba.com/dailysentence/detail-1778.html,"In your pursuit of your passions, always be young. In your relationship with others, always be grown-up.", 追求兴趣时保持年轻，与人相处时保持成熟。(Tom Brokaw)
http://news.iciba.com/dailysentence/detail-1782.html,The art of being happy lies in the power of extracting happiness from common things., 快乐的艺术是由平凡提取快乐的能力。（Henry Ward Beecher）
http://news.iciba.com/dailysentence/detail-1785.html,The great thing in the world is not so much where we stand as in what direction we are moving., 这世界的美好之处不在于我们所处的位置，而在于我们所要到达的远方。
http://news.iciba.com/dailysentence/detail-1787.html,Protect your innocence. Our innocence allows us to do what the practical mind prohibits., 保护你的纯真，它让我们有勇气去做实际心态所不允许的事。（Vin Diesel）
http://news.iciba.com/dailysentence/detail-1791.html,Action is the real measure of intelligence., 行动是智慧的真正衡量标准。（Napolean Hill）
http://news.iciba.com/dailysentence/detail-1789.html,Making someone happy is perhaps the humblest way of approaching happiness., 获取快乐的最简单方法或许就是让他人感受到你的快乐。
http://news.iciba.com/dailysentence/detail-1764.html,There are many more people trying to meet the right person than to become the right person., 很多人想遇到对的人，而不是让自己成为对的人。（Gloria Steinem）
http://news.iciba.com/dailysentence/detail-1766.html," Rejoice in hope, be patient in tribulation.",  从希望中得到欢乐，在苦难中保持坚韧。
http://news.iciba.com/dailysentence/detail-1762.html,Do not quench your inspiration and your imagination. Do not become the slave of your model., 不要熄灭你的灵感及想像，不要成为你楷模的奴隶。--梵高
http://news.iciba.com/dailysentence/detail-1768.html,"Sentimental children forever whining about how bitterly unfair your lives have been. Well,it may have escaped you notice, but life isn't fair.", 你这个令人失望多愁善感的小子，只会苦涩地抱怨生活多不公平。你可能没有注意到，生活本来就是不公平的。
http://news.iciba.com/dailysentence/detail-1770.html,Life is made up of small pleasures. Happiness is made up of those tiny successes. , 生活中有很多小确幸，那些看似微不足道的收获，却正是快乐之所在。（Norman Lear）
http://news.iciba.com/dailysentence/detail-1774.html,I’ve probably earned the right to screw up a few times. I don’t want the fear of failure to stop me from doing what I really care about., 或许偶尔弄糟一切，但我不希望对失败的恐惧阻碍我做真正想做的事。（Emma Watson）
http://news.iciba.com/dailysentence/detail-1772.html,"Satisfaction lies in the effort, not in the attainment. Full effort is full victory.", 满足感在于不断的努力，而不是现有成就。全心努力定会胜利满满。（Mahatma Gandhi）
http://news.iciba.com/dailysentence/detail-1740.html,You can't be brave if you've only had wonderful things happen to you., 如果你只经历过美好，何来勇敢？（Mary Tyler Moore）
http://news.iciba.com/dailysentence/detail-1732.html,You never saw a very busy person who was unhappy., 你从没见过一个忙碌的人不快乐。（ Dorothy Dix）
http://news.iciba.com/dailysentence/detail-1746.html,Do not let what you cannot do interfere with what you can do., 别让你不能做的事妨碍到你能做的事。（John Wooden）
http://news.iciba.com/dailysentence/detail-1738.html,"Visualize this thing that you want, see it, feel it, believe in it. Make your mental blue print, and begin to build.", 想你所想，去看、去感受、去相信。心里画一个蓝图，并努力让它绚烂多彩。（Robert Collier）
http://news.iciba.com/dailysentence/detail-1736.html,"Home. I'll go home. And I'll think of someway to get him back. After all, tomorrow is another day.", 家，我会回家，想办法让他回来。不管怎样，明天又是全新的一天。--《飘》
http://news.iciba.com/dailysentence/detail-1734.html,For life goes not backward nor tarries with yesterday.	, 生命不会后退，也不在过去停留。（纪伯伦）	
http://news.iciba.com/dailysentence/detail-1741.html,Love is that condition in which the happiness of another person is essential to your own., 爱是当另一个人的快乐影响你自己的快乐。（Robert Heinlein）
http://news.iciba.com/dailysentence/detail-1760.html,"Make each day count by setting specific goals to succeed, then putting forth every effort to exceed your own expectations.", 每天设定一个目标，然后努力做到完美，甚至超乎你的想象。
http://news.iciba.com/dailysentence/detail-1742.html,"There are no limits. There are only plateaus, and you must not stay there –you must go beyond them.", 没有所谓的极限，看似险难的高原，你不是待在那里，而是超越它。
http://news.iciba.com/dailysentence/detail-1752.html,"If all else remained, and he were annihilated, the universe would turn to a mighty stranger. I should not seem a part of it.", 如果你不在了，无论这个世界有多么好，它在我眼里也只是一片荒漠，而我就像是一个孤魂野鬼。--《呼啸山庄》
http://news.iciba.com/dailysentence/detail-1750.html,"Once there were no two hearts so open, no feelings so in harmony. Now we are strangers, worse than strangers, for we may never become acquainted. ", 曾经的相濡以沫，到如今的形同陌路，甚至还不如路人，一切都回不去了。--简·奥斯汀《劝导》
http://news.iciba.com/dailysentence/detail-1748.html,"It matters not what you are thought to be, but what you are.", 重要的不是别人怎么看你，而是你是怎样的人。(Publilius Syrus)
http://news.iciba.com/dailysentence/detail-1754.html,Making millions of  friends is not a miracle. The miracle is to make a friend who will stand by you when millions are against you., 朋友无数也敌不过当所有人都弃你而去时，有一个能坚定地站在你身旁。
http://news.iciba.com/dailysentence/detail-1756.html,"The loving person makes other people feel good, and he is usually a happy person himself.", 有爱心的人让人感到舒服，而他自己通常也是个快乐的人。（Benjamin Spock）
http://news.iciba.com/dailysentence/detail-1758.html,"Instead of complaining about it, I'm just gonna go in every day and give it my all. ", 与其抱怨不停，不如卯足劲儿全力去做好它。--《生活大爆炸》
http://news.iciba.com/dailysentence/detail-1810.html,You're not obligated to win. You're obligated to keep trying. To the best you can do everyday., 你不一定要获胜，但你必须不断尝试，每天表现你最好的一面。（Jason Mraz）
http://news.iciba.com/dailysentence/detail-1714.html,"I love three things in the world, the sun, the moon and you. The sun for the day. The moon for the night and you forever.	", 世之万物，吾爱有三：一曰为日，一曰为月，一曰为汝。日出昼也，月升夜也，爱汝恒也！
http://news.iciba.com/dailysentence/detail-1706.html,It is a characteristic of wisdom not to do desperate things.	, 不做孤注一掷的事是智慧的表现。（Henry David Thoreau）	
http://news.iciba.com/dailysentence/detail-1696.html,Done is better than perfect.	, 期望完美往往抵不过完成一件事。（Sheryl Sandberg）	
http://news.iciba.com/dailysentence/detail-1697.html,"Govern your thoughts when alone, and your tongue when in company.	", 闲谈勿论人非，静坐常思己过。	
http://news.iciba.com/dailysentence/detail-1704.html,The man who attracts luck carries with him the magnet of preparation., 吸引好运的人，总是在时刻准备着。（Clifton Fadiman）	
http://news.iciba.com/dailysentence/detail-1700.html,Don't tell me how hard you work. Tell me how much you get done.	, 你有多努力无需多谈，重要的是你完成了多少计划之中的事。（James Ling）	
http://news.iciba.com/dailysentence/detail-1709.html,"Oliver went up to the master, with his bowl in his hand. He felt very frightened, but also desperate with hunger.	", 奥利弗站了起来，手里捧着碗，胆战心惊地朝管事的走了过去。他极度饥饿又心存恐惧。
http://news.iciba.com/dailysentence/detail-1711.html,The secret of success in life is for a man to be ready for his opportunity when it comes.	, 人生成功的秘密在于，当机会来临时，他已准备好。（Benjamin Disraeli）	
http://news.iciba.com/dailysentence/detail-1716.html,Every new day begins with possibilities. It's up to us to fill it with the things that move us toward progress and peace. , 以无限的可能性开始每一天。我们本身决定着这一天是否进步或安心。（Ronald Wilson Reagan）
http://news.iciba.com/dailysentence/detail-1730.html,It is impossible to win the great prizes in life without running risks., 不冒险，怎么能赢得人生中的种种精彩？（Theodore Roosevelt）
http://news.iciba.com/dailysentence/detail-1720.html,The most wonderful thing about love is that it turns you and me to us.  , 爱情中最美好的事，莫过于你和我，最终成为我们。	
http://news.iciba.com/dailysentence/detail-1718.html,"The harder you fall, the higher you bounce.	", 跌得越重，反弹得就越高。
http://news.iciba.com/dailysentence/detail-1722.html,"Time erodes all such beauty, but what it cannot diminish is the wonderful workings of your mind, your humor, your kindness and your moral courage.", 时间可以吞噬一切，但它丝毫不能减少的是你伟大的思想、幽默、善良和勇气。--《小妇人》
http://news.iciba.com/dailysentence/detail-1724.html,The greatest gift that you can give to others is the gift of unconditional love and acceptance.	, 你能给别人的最好礼物，是无条件的爱与包容。（Brian Tracy）	
http://news.iciba.com/dailysentence/detail-1726.html,"Much effort, much prosperity.	", 越努力，越幸运。（Euripides）	
http://news.iciba.com/dailysentence/detail-1728.html,Acknowledging the good that you already have in your life is the foundation for all abundance., 感恩生活中所有，是所有富足的基础。（ Eckhart Tolle）
http://news.iciba.com/dailysentence/detail-1677.html,"And if God had gifted me with some beauty and much wealth, I should have made it as hard for you to leave me, as it is now for me to leave you. 	", 如果上帝赋予我美貌和财富，我一定要使你难以离开我，就像现在我难以离开你。--《简爱》
http://news.iciba.com/dailysentence/detail-1661.html,"When a man has put a limit on what he will do, he has put a limit on what he can do.	", 当一个人为自己将做的事设限，他也为自己能做的事设限。（Charles M. Schwab）	
http://news.iciba.com/dailysentence/detail-1665.html,"In every triumph, there's a lot of try.	", 每个胜利背后都有许多尝试。（Frank Tyger）	
http://news.iciba.com/dailysentence/detail-1663.html,That there was no room for unhappiness as long as I was free. 	, 只要我是自由的，便没有不快乐的时刻。--《消失的女孩》
http://news.iciba.com/dailysentence/detail-1670.html,It is precisely the possibility of realizing a dream that makes life interesting.	, 有机会实现梦想让人生变得有趣。（Paulo Coelho）	
http://news.iciba.com/dailysentence/detail-1667.html,Keep your face to the sunshine and you cannot see the shadow.	, 保持面朝阳光，你将不会见到阴暗。（Helen Keller）
http://news.iciba.com/dailysentence/detail-1673.html,"Adventure is a state of mind and spirit. It comes with faith, for with complete faith, there is no fear of what faces you in life or death.", 冒险是一种心态和精神。与之而来的是绝对的信念，这样无论生死，都无所畏惧。（Jacqueline Cochran）	
http://news.iciba.com/dailysentence/detail-1679.html,"Beauty is how you feel inside, and it reflects in your eyes. It is not something physical.	", 美，可以从一个人的眼神中看到，但更重要的，它来自于内心。
http://news.iciba.com/dailysentence/detail-1675.html,"Any activity becomes creative when the doer cares about doing it right, or better.", 当你专注把事情做好，或做得比原来更好，任何事情都可以创新。（John Updike）
http://news.iciba.com/dailysentence/detail-1683.html,You aspire to do great things? Begin with little ones.	, 想成就大事，就要从小事开始。（Augustine of Hippo）
http://news.iciba.com/dailysentence/detail-1682.html,It is a rough road that leads to the heights of greatness.	, 崎岖不平的道路将通往伟大崇高之地。（Lucius Annaeus Seneca）
http://news.iciba.com/dailysentence/detail-1692.html,Either write something worth reading or do something worth writing.	, 要么书写值得阅读的事情，要么做值得被书写的事情。（Benjamin Franklin）	
http://news.iciba.com/dailysentence/detail-1685.html,"Never reject an idea, dream or goal because it will be hard work. Success rarely comes without it.", 绝不要因为怕辛苦而拒绝一个想法、梦想或是目标，成功的路上难免伴随辛苦。（Bob Proctor）
http://news.iciba.com/dailysentence/detail-1687.html,You don't overcome challenges by making them smaller but by making yourself bigger.	, 想要克服困难，不是把困难最小化，而是自己努力变得更强大。（John C. Maxwell）	
http://news.iciba.com/dailysentence/detail-1691.html,"Life is too short to waste. Dreams are fulfilled only through action, not through endless planning to take action.", 人生短暂，怎能虚度！梦想要靠行动来实现，绝非无终止的计划。（David J. Schwartz）
http://news.iciba.com/dailysentence/detail-1689.html,Courage is what it takes to stand up and speak. Courage is also what it takes to sit down and listen., 人不仅需要勇气站起来说话，也需要勇气坐下来倾听。（Winston Churchill）	
http://news.iciba.com/dailysentence/detail-1641.html,True liberty is to have power over oneself in all things.	, 真正的自由是在所有时候都能控制自己。--蒙田
http://news.iciba.com/dailysentence/detail-1631.html,"If one cannot enjoy reading a book over and over again, there is no use in reading it at all.	", 如果一个人并不能享受阅读的乐趣，那阅读这件事就毫无意义可言。（Oscar Wilde）	
http://news.iciba.com/dailysentence/detail-1635.html,"You manifest what you believe, not what you want.	", 在你身上所体现的，是你所相信的东西，而非你所想要的东西。（Sonia Ricotti）
http://news.iciba.com/dailysentence/detail-1627.html,"Confidence, never deny yourself of it, for it costs you nothing and leads to great things.	", 一定要时刻保持自信，它不花你一毛钱但可以带你至很棒的境界。（Vin Diesel）	
http://news.iciba.com/dailysentence/detail-1625.html,Most people spend more time and energy going around problems than in trying to solve them., 大多数人都把时间和精力浪费在了问题本身，而不是试着解决问题。（Henry Ford）
http://news.iciba.com/dailysentence/detail-1633.html,"If you want something you've never had, you must be willing to do something you've never done.", 若想得到你从未拥有的东西，你得愿意做你从未做过的事。（Thomas Jefferson）	
http://news.iciba.com/dailysentence/detail-1637.html,"You can fail at what you don't want, so you might as well take a chance on doing what you love.", 做不想做的事可能会失败，倒不如给自己一个机会做你爱做的事。（Jim Carrey）	
http://news.iciba.com/dailysentence/detail-1658.html,"As we express our gratitude, we must never forget that the highest appreciation is not to utter words, but to live by them.	", 当我们表达感谢时，我们绝不能忘记感恩的最高形式不是说出的话，而是实际的作为。（John Kennedy）
http://news.iciba.com/dailysentence/detail-1639.html,"One always has time enough, if one will apply it well.	", 人总是有足够的时间，如果他好好利用。--歌德
http://news.iciba.com/dailysentence/detail-1645.html,The most difficult thing is the decision to act. The rest is merely tenacity., 最困难的是下决定，剩下的就要坚持了。（Amelia Earhart）	
http://news.iciba.com/dailysentence/detail-1643.html,"Sometimes, the perfect person for you is the one you least expect. 	", 有时候，最适合你的人，恰恰是你最没有想到的那个人。--《傲慢与偏见》	
http://news.iciba.com/dailysentence/detail-1647.html,"A man, as a general rule, owes very little to what he is born with - a man is what he makes of himself.	", 一般而言，天生的能力对人的一生影响不大，真正影响他一生的是如何造就自己。（Alexander Graham Bell）
